gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,heraldkills,oppheraldkills,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15
2020-112Royal Never Give UpBilibili Gaming,,LPL,2020-1, ,1,2,10.01,100,Blue,Team,Team,Royal Never Give Up, ,Qiyana,Rumble,Elise,Fiora,Camille,48.48333333,0,1,7,1,1,7, , , , , ,, , ,0.020625645,0.144379512,0.165005156, ,,4,4,,,,,,,,,,,,,,,5,9,,,,,,, , ,,,,,,,, , ,74845,,,,,,,,,,,,,,,,,,,,,,,
2020-112Royal Never Give UpBilibili Gaming,,LPL,2020-1, ,1,2,10.01,200,Red,Team,Team,Bilibili Gaming, ,Akali,Lucian,Mordekaiser,Shen,Rakan,48.48333333,1,7,1,10,7,1, , , , , ,, , ,0.144379512,0.020625645,0.165005156, ,,4,4,,,,,,,,,,,,,,,9,5,,,,,,, , ,,,,,,,, , ,85554,,,,,,,,,,,,,,,,,,,,,,,
2020-113Bilibili GamingRoyal Never Give Up,,LPL,2020-1, ,1,3,10.01,1,Blue,ADC,jinjiao,Bilibili Gaming,Senna,Rakan,Lucian,Elise,LeBlanc,Zoe,36.03333333,1,0,3,12,18,7, , , , , ,, , ,0,0,0.693802035, ,,3,3,,,,,,,,,,,,,,,9,1,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-113Bilibili GamingRoyal Never Give Up,,LPL,2020-1, ,1,3,10.01,1,Blue,Jungle,Meteor,Bilibili Gaming,Nocturne,Rakan,Lucian,Elise,LeBlanc,Zoe,36.03333333,1,3,1,10,18,7, , , , , ,, , ,0.083256244,0.055504163,0.693802035, ,,3,3,,,,,,,,,,,,,,,9,1,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-113Bilibili GamingRoyal Never Give Up,,LPL,2020-1, ,1,3,10.01,1,Blue,Middle,FoFo,Bilibili Gaming,Rumble,Rakan,Lucian,Elise,LeBlanc,Zoe,36.03333333,1,7,0,8,18,7, , , , , ,, , ,0.19426457,0.027752081,0.693802035, ,,3,3,,,,,,,,,,,,,,,9,1,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-113Bilibili GamingRoyal Never Give Up,,LPL,2020-1, ,1,3,10.01,1,Blue,Support,XinMo,Bilibili Gaming,Braum,Rakan,Lucian,Elise,LeBlanc,Zoe,36.03333333,1,2,1,13,18,7, , , , , ,, , ,0.055504163,0,0.693802035, ,,3,3,,,,,,,,,,,,,,,9,1,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-113Bilibili GamingRoyal Never Give Up,,LPL,2020-1, ,1,3,10.01,1,Blue,Top,kingen,Bilibili Gaming,Aatrox,Rakan,Lucian,Elise,LeBlanc,Zoe,36.03333333,1,6,2,9,18,7, , , , , ,, , ,0.166512488,0.111008326,0.693802035, ,,3,3,,,,,,,,,,,,,,,9,1,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-113Bilibili GamingRoyal Never Give Up,,LPL,2020-1, ,1,3,10.01,1,Red,ADC,Betty,Royal Never Give Up,Miss Fortune,Akali,Aphelios,Qiyana,Gragas,Gangplank,36.03333333,0,0,2,4,7,18, , , , , ,, , ,0,0,0.693802035, ,,3,3,,,,,,,,,,,,,,,1,9,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-113Bilibili GamingRoyal Never Give Up,,LPL,2020-1, ,1,3,10.01,1,Red,Jungle,XLB,Royal Never Give Up,Rek'Sai,Akali,Aphelios,Qiyana,Gragas,Gangplank,36.03333333,0,2,3,2,7,18, , , , , ,, , ,0.055504163,0.083256244,0.693802035, ,,3,3,,,,,,,,,,,,,,,1,9,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-113Bilibili GamingRoyal Never Give Up,,LPL,2020-1, ,1,3,10.01,1,Red,Middle,xiaohu,Royal Never Give Up,Sylas,Akali,Aphelios,Qiyana,Gragas,Gangplank,36.03333333,0,1,5,1,7,18, , , , , ,, , ,0.027752081,0.19426457,0.693802035, ,,3,3,,,,,,,,,,,,,,,1,9,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
