fpts,result,gamelength
38.28,1,36.11666667
0.74,0,36.11666667
4.7,0,32.56666667
41.58,1,32.56666667
7.88,1,33.23333333
8.66,0,33.23333333
10.620000000000001,0,42.2
11.88,1,42.2
10.18,0,33.86666667
39.4,1,33.86666667
22.18,0,46.83333333
47.48,1,46.83333333
12.24,0,39.63333333
15.62,1,39.63333333
24.24,1,31.95
8.12,0,31.95
11.54,0,41.4
30.18,1,41.4
16.04,1,38.16666667
13.46,0,38.16666667
35.84,1,48.61666667
22.54,0,48.61666667
42.84,1,33.56666667
1.1,0,33.56666667
36.78,1,33.15
3.14,0,33.15
13.6,0,30.73333333
17.58,1,30.73333333
36.62,1,27.73333333
3.2800000000000002,0,27.73333333
30.62,1,26.78333333
3.68,0,26.78333333
-3.16,0,31.83333333
35.0,1,31.83333333
29.88,1,32.68333333
9.46,0,32.68333333
4.64,0,38.2
17.6,1,38.2
18.06,0,36.93333333
21.3,1,36.93333333
7.9,0,30.68333333
24.2,1,30.68333333
9.28,0,39.75
38.62,1,39.75
13.18,1,37.31666667
8.1,0,37.31666667
7.92,0,30.8
11.28,1,30.8
20.94,1,36.73333333
15.32,0,36.73333333
-0.56,0,30.18333333
28.3,1,30.18333333
17.26,1,52.43333333
9.76,0,52.43333333
4.34,0,52.3
24.76,1,52.3
29.38,1,41.0
11.88,0,41.0
18.96,1,31.46666667
18.2,0,31.46666667
7.3,0,42.85
36.8,1,42.85
10.68,1,34.96666667
11.16,0,34.96666667
16.2,1,25.63333333
1.6600000000000001,0,25.63333333
5.46,0,37.83333333
21.44,1,37.83333333
12.6,0,40.81666667
33.980000000000004,1,40.81666667
11.52,1,30.35
2.06,0,30.35
28.94,1,40.0
12.52,0,40.0
2.06,0,38.23333333
25.74,1,38.23333333
-1.3199999999999998,0,24.68333333
29.14,1,24.68333333
0.18,0,30.76666667
45.76,1,30.76666667
1.8,0,29.55
25.4,1,29.55
21.34,0,36.23333333
30.6,1,36.23333333
5.08,0,42.36666667
27.5,1,42.36666667
5.34,0,33.18333333
33.68,1,33.18333333
54.04,1,62.06666667
24.74,0,62.06666667
17.52,0,37.83333333
31.3,1,37.83333333
32.44,1,28.13333333
-1.26,0,28.13333333
8.72,0,45.8
34.4,1,45.8
36.76,1,32.01666667
8.66,0,32.01666667
31.66,1,34.68333333
8.38,0,34.68333333
18.62,1,55.31666667
21.86,0,55.31666667
15.6,0,37.41666667
14.24,1,37.41666667
6.9,1,31.55
13.04,0,31.55
5.96,0,38.93333333
18.06,1,38.93333333
18.2,0,39.95
29.68,1,39.95
10.52,0,41.58333333
14.120000000000001,1,41.58333333
1.24,0,28.9
30.36,1,28.9
19.86,1,28.46666667
1.18,0,28.46666667
7.12,0,44.1
14.120000000000001,1,44.1
14.2,1,29.91666667
-0.42000000000000004,0,29.91666667
2.44,0,29.01666667
17.98,1,29.01666667
5.26,0,39.58333333
29.5,1,39.58333333
3.56,0,36.18333333
22.2,1,36.18333333
13.3,0,38.28333333
7.8,1,38.28333333
15.08,0,59.9
39.6,1,59.9
-3.1,0,29.08333333
29.56,1,29.08333333
15.26,0,36.68333333
11.08,1,36.68333333
28.74,1,30.61666667
1.22,0,30.61666667
7.6,0,40.68333333
46.28,1,40.68333333
26.86,1,25.11666667
5.46,0,25.11666667
16.24,1,34.81666667
0.72,0,34.81666667
3.88,0,39.31666667
20.28,1,39.31666667
19.92,1,27.18333333
-0.29999999999999993,0,27.18333333
15.6,1,26.03333333
-1.42,0,26.03333333
2.32,0,21.13333333
31.58,1,21.13333333
13.36,1,51.2
9.04,0,51.2
10.9,0,41.03333333
38.86,1,41.03333333
25.84,1,34.76666667
0.88,0,34.76666667
31.82,1,27.78333333
4.72,0,27.78333333
31.52,0,48.18333333
7.32,1,48.18333333
18.8,0,43.75
14.04,1,43.75
27.82,1,24.36666667
8.54,0,24.36666667
31.54,1,24.55
6.5600000000000005,0,24.55
9.68,0,27.55
16.16,1,27.55
14.9,1,43.36666667
12.28,0,43.36666667
25.1,0,48.93333333
26.7,1,48.93333333
4.72,0,43.35
27.48,1,43.35
28.6,1,23.9
6.28,0,23.9
35.56,1,28.63333333
-0.6799999999999999,0,28.63333333
14.02,0,46.25
31.4,1,46.25
28.38,1,39.26666667
21.8,0,39.26666667
23.6,1,43.38333333
12.8,0,43.38333333
6.24,0,35.21666667
25.28,1,35.21666667
-1.3599999999999999,0,36.73333333
38.4,1,36.73333333
15.84,1,34.73333333
16.26,0,34.73333333
19.26,0,38.2
26.72,1,38.2
16.36,0,45.53333333
14.0,1,45.53333333
41.56,1,43.88333333
14.58,0,43.88333333
3.66,0,29.25
7.32,1,29.25
0.21999999999999997,0,31.81666667
27.0,1,31.81666667
18.96,1,35.96666667
11.98,0,35.96666667
24.3,1,40.46666667
8.76,0,40.46666667
5.82,0,36.16666667
32.1,1,36.16666667
25.96,1,33.25
8.06,0,33.25
2.64,0,40.11666667
24.44,1,40.11666667
26.62,1,29.63333333
9.0,0,29.63333333
18.0,0,33.68333333
12.94,1,33.68333333
4.86,0,38.08333333
