gameid,date,league,split,side,week,side,position,player,team,gamelength,result,k,d,a,teamkills,teamdeaths,cs,fpts
1092517,43639.58846,CBLoL,2019-2,Red,4,Red,Middle,Takeshi,Team One,30.56666667,0,1,3,3,5,18,261,11.22
1092517,43639.58846,CBLoL,2019-2,Red,4,Red,ADC,Luskka,Team One,30.56666667,0,1,3,3,5,18,296,11.92
1092517,43639.58846,CBLoL,2019-2,Red,4,Red,Support,JoJo,Team One,30.56666667,0,0,3,4,5,18,15,5.3
1092517,43639.58846,CBLoL,2019-2,Blue,4,Blue,Team,Team,KaBuM,30.56666667,1,18,5,44,18,5,999,23.0
1092517,43639.58846,CBLoL,2019-2,Red,4,Red,Team,Team,Team One,30.56666667,0,5,18,14,5,18,903,6.0
1130750,43621.11299,LCK,2019-2,Blue,1.1,Blue,Top,Lindarang,Jin Air Green Wings,31.18333333,0,1,4,1,3,16,288,6.76
1130750,43621.11299,LCK,2019-2,Blue,1.1,Blue,Jungle,Malrang,Jin Air Green Wings,31.18333333,0,1,3,0,3,16,170,3.4
1130750,43621.11299,LCK,2019-2,Blue,1.1,Blue,Middle,Grace,Jin Air Green Wings,31.18333333,0,0,3,1,3,16,249,3.98
1130750,43621.11299,LCK,2019-2,Blue,1.1,Blue,ADC,Route,Jin Air Green Wings,31.18333333,0,1,3,1,3,16,283,7.66
1130750,43621.11299,LCK,2019-2,Blue,1.1,Blue,Support,Kellin,Jin Air Green Wings,31.18333333,0,0,3,2,3,16,59,2.18
1130750,43621.11299,LCK,2019-2,Red,1.1,Red,Top,Kingen,KT Rolster,31.18333333,1,5,1,4,16,3,264,27.28
1130750,43621.11299,LCK,2019-2,Red,1.1,Red,Jungle,UmTi,KT Rolster,31.18333333,1,2,0,9,16,3,190,27.8
1130750,43621.11299,LCK,2019-2,Red,1.1,Red,Middle,Bdd,KT Rolster,31.18333333,1,5,0,5,16,3,288,30.76
1130750,43621.11299,LCK,2019-2,Red,1.1,Red,ADC,PraY,KT Rolster,31.18333333,1,4,1,11,16,3,347,41.94
1130750,43621.11299,LCK,2019-2,Red,1.1,Red,Support,SnowFlower,KT Rolster,31.18333333,1,0,1,15,16,3,64,32.28
1130750,43621.11299,LCK,2019-2,Blue,1.1,Blue,Team,Team,Jin Air Green Wings,31.18333333,0,3,16,5,3,16,1049,0.0
1130750,43621.11299,LCK,2019-2,Red,1.1,Red,Team,Team,KT Rolster,31.18333333,1,16,3,44,16,3,1153,24.0
1130754,43621.15931,LCK,2019-2,Blue,1.1,Blue,Top,Kingen,KT Rolster,41.71666667,1,2,3,7,13,17,344,23.88
1130754,43621.15931,LCK,2019-2,Blue,1.1,Blue,Jungle,UmTi,KT Rolster,41.71666667,1,3,4,3,13,17,248,15.96
1130754,43621.15931,LCK,2019-2,Blue,1.1,Blue,Middle,Bdd,KT Rolster,41.71666667,1,4,3,6,13,17,307,27.14
1130754,43621.15931,LCK,2019-2,Blue,1.1,Blue,ADC,PraY,KT Rolster,41.71666667,1,4,2,4,13,17,419,26.380000000000006
1130754,43621.15931,LCK,2019-2,Blue,1.1,Blue,Support,SnowFlower,KT Rolster,41.71666667,1,0,5,10,13,17,36,15.72
1130754,43621.15931,LCK,2019-2,Red,1.1,Red,Top,Lindarang,Jin Air Green Wings,41.71666667,0,3,1,6,17,13,335,26.7
1130754,43621.15931,LCK,2019-2,Red,1.1,Red,Jungle,Malrang,Jin Air Green Wings,41.71666667,0,3,3,9,17,13,144,26.88
1130754,43621.15931,LCK,2019-2,Red,1.1,Red,Middle,Grace,Jin Air Green Wings,41.71666667,0,2,5,9,17,13,359,26.18
1130754,43621.15931,LCK,2019-2,Red,1.1,Red,ADC,Route,Jin Air Green Wings,41.71666667,0,8,2,6,17,13,471,43.42
1130754,43621.15931,LCK,2019-2,Red,1.1,Red,Support,Kellin,Jin Air Green Wings,41.71666667,0,1,2,12,17,13,36,27.72
1130754,43621.15931,LCK,2019-2,Blue,1.1,Blue,Team,Team,KT Rolster,41.71666667,1,13,17,30,13,17,1354,22.0
1130754,43621.15931,LCK,2019-2,Red,1.1,Red,Team,Team,Jin Air Green Wings,41.71666667,0,17,13,42,17,13,1345,13.0
1130786,43621.22955,LCK,2019-2,Blue,1.1,Blue,Top,CuVee,Gen.G,33.55,0,2,5,3,5,13,276,12.52
1130786,43621.22955,LCK,2019-2,Blue,1.1,Blue,Jungle,Peanut,Gen.G,33.55,0,0,1,5,5,13,168,12.36
1130786,43621.22955,LCK,2019-2,Blue,1.1,Blue,Middle,Kuzan,Gen.G,33.55,0,3,1,2,5,13,317,18.34
1130786,43621.22955,LCK,2019-2,Blue,1.1,Blue,ADC,Ruler,Gen.G,33.55,0,0,2,4,5,13,355,13.1
1130786,43621.22955,LCK,2019-2,Blue,1.1,Blue,Support,Life,Gen.G,33.55,0,0,4,2,5,13,61,1.22
1130786,43621.22955,LCK,2019-2,Red,1.1,Red,Top,Nuguri,Damwon Gaming,33.55,1,5,2,4,13,5,363,28.26
1130786,43621.22955,LCK,2019-2,Red,1.1,Red,Jungle,Canyon,Damwon Gaming,33.55,1,1,1,9,13,5,147,22.94
1130786,43621.22955,LCK,2019-2,Red,1.1,Red,Middle,ShowMaker,Damwon Gaming,33.55,1,6,1,4,13,5,334,31.68
1130786,43621.22955,LCK,2019-2,Red,1.1,Red,ADC,Nuclear,Damwon Gaming,33.55,1,1,0,10,13,5,222,27.44
1130786,43621.22955,LCK,2019-2,Red,1.1,Red,Support,BeryL,Damwon Gaming,33.55,1,0,1,10,13,5,152,22.04
