fpts,gamelength,result
35.480000000000004,29.75,1
7.7,29.75,0
9.04,36.83333333,0
21.34,36.83333333,1
30.38,30.88333333,1
8.120000000000001,30.88333333,0
21.12,25.58333333,0
25.82,25.58333333,1
30.18,43.2,0
35.7,43.2,1
42.82,28.88333333,1
2.68,28.88333333,0
31.259999999999998,32.76666667,0
31.240000000000002,32.76666667,1
11.64,39.45,0
19.32,39.45,1
56.8,51.16666667,1
42.88,51.16666667,0
16.259999999999998,28.55,1
10.48,28.55,0
10.86,33.85,0
13.3,33.85,1
22.54,30.6,0
31.54,30.6,1
13.02,35.68333333,0
31.08,35.68333333,1
17.14,25.3,1
8.6,25.3,0
11.219999999999999,28.05,0
39.62,28.05,1
13.04,39.76666667,0
48.66,39.76666667,1
27.14,44.36666667,1
22.84,44.36666667,0
20.46,36.21666667,1
14.879999999999999,36.21666667,0
25.2,31.71666667,1
15.2,31.71666667,0
23.16,29.93333333,1
1.2599999999999998,29.93333333,0
35.3,34.2,1
22.2,34.2,0
43.9,43.2,1
52.28,43.2,0
20.82,32.53333333,1
21.560000000000002,32.53333333,0
14.440000000000001,33.23333333,1
21.88,33.23333333,0
17.94,32.01666667,1
16.14,32.01666667,0
26.28,34.8,0
35.7,34.8,1
32.38,32.18333333,1
7.64,32.18333333,0
12.92,31.06666667,0
18.3,31.06666667,1
36.08,27.76666667,1
6.32,27.76666667,0
16.18,29.25,0
22.98,29.25,1
13.7,33.45,1
8.600000000000001,33.45,0
16.94,34.78333333,1
16.8,34.78333333,0
24.32,51.83333333,1
18.68,51.83333333,0
45.44,33.61666667,1
2.1000000000000005,33.61666667,0
35.28,49.81666667,1
37.08,49.81666667,0
21.18,36.93333333,1
15.219999999999999,36.93333333,0
16.759999999999998,39.4,0
14.3,39.4,1
32.3,42.4,1
8.2,42.4,0
26.1,34.18333333,1
9.24,34.18333333,0
28.04,47.25,1
32.12,47.25,0
2.6,30.83333333,0
42.5,30.83333333,1
24.64,29.1,1
10.84,29.1,0
34.78,35.4,1
-0.019999999999999574,35.4,0
6.0200000000000005,40.03333333,0
26.04,40.03333333,1
50.26,45.48333333,0
7.22,45.48333333,1
11.26,33.88333333,1
14.92,33.88333333,0
38.96,51.61666667,1
22.380000000000003,51.61666667,0
41.82,27.38333333,1
7.220000000000001,27.38333333,0
41.06,39.81666667,1
19.32,39.81666667,0
22.72,39.45,1
33.74,39.45,0
12.26,33.08333333,1
10.26,33.08333333,0
41.06,36.0,1
7.640000000000001,36.0,0
37.32,34.83333333,1
4.74,34.83333333,0
36.72,32.3,1
5.54,32.3,0
41.56,32.63333333,1
5.5,32.63333333,0
29.060000000000002,38.8,0
31.740000000000002,38.8,1
23.64,35.21666667,1
9.9,35.21666667,0
20.94,24.1,1
13.98,24.1,0
35.68,36.63333333,1
7.6000000000000005,36.63333333,0
17.52,32.5,0
35.4,32.5,1
9.08,33.58333333,0
53.72,33.58333333,1
8.5,26.6,0
38.24,26.6,1
26.16,26.46666667,1
8.74,26.46666667,0
10.100000000000001,32.26666667,0
18.560000000000002,32.26666667,1
23.72,46.05,0
33.66,46.05,1
23.16,42.35,1
13.64,42.35,0
19.34,28.05,1
2.6399999999999997,28.05,0
23.6,29.21666667,1
2.9800000000000004,29.21666667,0
0.2200000000000002,23.18333333,0
21.04,23.18333333,1
8.46,29.23333333,0
42.64,29.23333333,1
38.8,38.78333333,1
10.66,38.78333333,0
13.0,26.25,1
3.62,26.25,0
10.08,31.38333333,0
32.92,31.38333333,1
41.84,38.81666667,1
